coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Origin Protocol,OGN,0.434115,0.007,-0.068,0.612,182478529,205164994,2022-03-16
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375,403883855,2022-03-16
NuCypher,NU,0.419373,0.004,0.01,-0.098,4321357,342894249,2022-03-16
Stargaze,STARS,0.401895,0.014,-0.005,-0.125,1726553,300351592,2022-03-16
Cronos,CRO,0.401575,0.018,0.043,0.038,99233479,10108572460,2022-03-16
OriginTrail,TRAC,0.400529,0.016,0.009,-0.042,2381151,146343514,2022-03-16
DODO,DODO,0.391699,0.033,0.064,0,53854854,111498427,2022-03-16
DigitalBits,XDB,0.389141,0.023,0.216,0.209,3821494,296998483,2022-03-16
Beta Finance,BETA,0.387492,0.019,0.012,-0.072,18604900,138948965,2022-03-16
Polymath,POLY,0.384838,0.017,0.014,-0.036,12205658,344258737,2022-03-16
Chromia,CHR,0.37938,0.029,0.045,0.031,58407751,213564555,2022-03-16
Automata,ATA,0.367835,0.031,0.041,0.035,10518480,83514063,2022-03-16
Biswap,BSW,0.357696,0.019,0.042,0.149,5174312,80023062,2022-03-16
Dvision Network,DVI,0.348705,0.011,0.045,-0.169,893982,85948342,2022-03-16
REN,REN,0.338855,0.032,0.012,-0.012,41048178,337192089,2022-03-16
Fetch.ai,FET,0.327851,0.022,0.007,0.024,21546674,224454559,2022-03-16
Oxygen,OXY,0.325739,0.015,0.001,0.084,464624,65770433,2022-03-16
DUSK Network,DUSK,0.325281,0.021,-0.046,-0.038,27805515,129420731,2022-03-16
Decentral Games Governance,XDG,0.32163,0.01,0.013,0.002,121569,98858963,2022-03-16
aelf,ELF,0.318783,0.018,0.016,-0.012,12922826,145914636,2022-03-16
Steem,STEEM,0.315524,0.013,0.01,0.009,6019119,124507907,2022-03-16
Cartesi,CTSI,0.311626,0.02,-0.01,0.02,16935581,161866858,2022-03-16
ZoidPay,ZPAY,0.309582,0.037,0.049,0.32,200162,89683955,2022-03-16
Covalent,CQT,0.308264,0.022,-0.039,-0.147,4464667,78070115,2022-03-16
Decentral Games,DG,0.306293,0.005,0.002,0.003,854759,116422219,2022-03-16
Clover Finance,CLV,0.305749,0.02,0.01,-0.016,8210647,79586374,2022-03-16
Hxro,HXRO,0.305377,0.008,0.014,-0.062,133516,133894630,2022-03-16
MaidSafeCoin,MAID,0.29492,0.023,0.01,0.045,3041.72,132775927,2022-03-16
Alpha Finance,ALPHA,0.279294,0.018,0.054,0.021,7405255,124373230,2022-03-16
WAX,WAXP,0.274089,0.021,0.02,0,26837225,615219740,2022-03-16
ShapeShift FOX Token,FOX,0.273188,0.014,0.001,-0.005,593740,73980085,2022-03-16
Civic,CVC,0.268256,0.024,0.056,0.032,15009057,179389403,2022-03-16
Orchid Protocol,OXT,0.237795,0.021,0,0.066,12106980,139760673,2022-03-16
AIOZ Network,AIOZ,0.237396,0.047,0.287,0.241,13715452,114207956,2022-03-16
Utrust,UTK,0.233365,0.018,-0.011,-0.007,6103029,107165105,2022-03-16
Oasis Network,ROSE,0.227889,0.036,0.07,0.027,65843862,794382929,2022-03-16
Gala,GALA,0.227781,0.026,0.047,0.037,551763058,1714837250,2022-03-16
Retreeb,TREEB,0.225841,0.035,0.137,0.07,905540,70125336,2022-03-16
Mdex,MDX,0.223833,0.018,0.029,0.051,7274677,192821569,2022-03-16
AllianceBlock,ALBT,0.222035,0.025,0.075,0.046,594392,85612394,2022-03-16
Request,REQ,0.218404,0.018,-0.001,0.122,18881863,168625356,2022-03-16
Aergo,AERGO,0.216541,0.011,0.003,-0.14,8958942,78030243,2022-03-16
Velas,VLX,0.213154,0,0.004,-0.037,4105033,483094532,2022-03-16
AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800,154656421,2022-03-16
COTI,COTI,0.201515,0.017,0.048,0.008,15582614,210898806,2022-03-16
Hedera,HBAR,0.200008,0.012,-0.007,-0.024,65559083,3922919996,2022-03-16
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277,1049331415,2022-03-16
Ardor,ARDR,0.192938,0.014,0.02,-0.011,6272018,191059042,2022-03-16
NKN,NKN,0.192439,0.03,0.078,0.064,9196680,124009174,2022-03-16
Everscale,EVER,0.191627,-0.011,-0.009,0.001,6416.99,261949792,2022-03-16
Stellar,XLM,0.186969,0.017,0.026,0.079,257508818,4584325546,2022-03-16
TrueFi,TRU,0.180166,0.025,-0.008,0.069,9656824,115725924,2022-03-16
Rally,RLY,0.180078,0.026,0.001,-0.058,3356848,464413872,2022-03-16
Presearch,PRE,0.179852,0.022,-0.042,0,598873,70111160,2022-03-16
bZx Protocol,BZRX,0.177963,0.022,0.427,0.48,16.65,74186632,2022-03-16
cUNI,CUNI,0.177688,0.001,0.008,0,818771,86960205,2022-03-16
Sperax,SPA,0.166557,0.008,-0.017,-0.021,464074,129752776,2022-03-16
Ellipsis,EPS,0.164725,0.014,0.036,0.042,8159278,102630468,2022-03-16
Theta Fuel,TFUEL,0.162482,0.024,0.007,0.064,16105407,1886178774,2022-03-16
Handshake,HNS,0.156275,0.019,-0.054,-0.108,197146,73747459,2022-03-16
Constellation,DAG,0.152116,0.013,-0.013,0.249,1019712,382521151,2022-03-16
RSK Infrastructure Framework,RIF,0.150149,0.017,0.032,0.007,1193005,123524355,2022-03-16
Bifrost,BFC,0.149179,0.013,0.017,0.01,1366910,157313585,2022-03-16
Mango,MNGO,0.148804,0.021,0.011,-0.026,535237,152354623,2022-03-16
Victoria VR,VR,0.144477,0.051,-0.003,0.032,7068380,117291824,2022-03-16
IDEX,IDEX,0.142817,0.013,-0.002,-0.018,22972045,90978713,2022-03-16
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435,1499937034,2022-03-16
Kirobo,KIRO,0.126408,0.019,0.019,-0.074,30233.26,119964465,2022-03-16
SKALE,SKL,0.12635,0.013,0.043,0.112,11283316,407687711,2022-03-16
e-Radix,EXRD,0.122181,0.022,0.063,0.004,2588295,484119330,2022-03-16
Radix,XRD,0.121859,0.015,0.064,-0.001,215995,1198319388,2022-03-16
Conflux,CFX,0.116231,0.02,0.007,-0.072,4957635,180397101,2022-03-16
Dogecoin,DOGE,0.11566,0.015,0.023,-0.011,451839687,15312260998,2022-03-16
MXC,MXC,0.104299,0,0.031,0.175,21346445,255853059,2022-03-16
Astar,ASTR,0.10323,0.009,0.007,0.032,7991761,205235595,2022-03-16
Beldex,BDX,0.101366,0.018,0.013,0.44,172723,152144019,2022-03-16
NEM,XEM,0.098240606,0.021,0.043,0.037,20866042,879585159,2022-03-16
Alien Worlds,TLM,0.09654588,0.036,0.039,-0.002,44383919,119120382,2022-03-16
Sifchain,EROWAN,0.091107956,0.026,-0.024,-0.023,3841586,70322023,2022-03-16
STP Network,STPT,0.085865789,0.007,0.006,-0.041,11751380,125461512,2022-03-16
SingularityNET,AGIX,0.084142124,0.026,-0.003,-0.036,868150,73918145,2022-03-16
Metadium,META,0.076908862,0.007,-0.036,0.046,32828560,129878030,2022-03-16
IoTeX,IOTX,0.076638518,0.042,0.007,0.117,91722669,717099434,2022-03-16
Orbs,ORBS,0.072194785,0.006,0.02,0.023,28204447,208178410,2022-03-16
Ankr,ANKR,0.072181813,0.023,0.016,-0.064,40789205,587511707,2022-03-16
ARPA Chain,ARPA,0.068515692,0.028,0.026,-0.008,14838311,66892485,2022-03-16
Casper Network,CSPR,0.063408018,0.023,0.101,0.019,11186869,262580070,2022-03-16
Songbird,SGB,0.062799688,0.022,0.006,-0.137,2629530,486741272,2022-03-16
Divi,DIVI,0.06259334,-0.003,0.057,-0.041,232874,172881299,2022-03-16
CoinEx Token,CET,0.061152344,0.005,0.035,0.072,862651,226665111,2022-03-16
TRON,TRX,0.060751876,0.011,0.005,0.003,608305288,6139215131,2022-03-16
ConstitutionDAO,PEOPLE,0.060612313,0.061,0.102,0.075,143678395,307184638,2022-03-16
Status,SNT,0.056745128,0.012,0.007,-0.034,7688360,219753630,2022-03-16
PEAKDEFI,PEAK,0.056409522,0.004,0.007,-0.175,51980.14,76293156,2022-03-16
IRISnet,IRIS,0.055724268,0.022,-0.008,-0.027,6277598,68613799,2022-03-16
Pylon Protocol,MINE,0.053553942,0.011,0.046,0.093,1026416,102790559,2022-03-16
Ravencoin,RVN,0.051804162,0.027,0.042,0.006,19390191,538520749,2022-03-16
XDC Network,XDC,0.050635432,-0.002,-0.022,0.097,9930593,616292915,2022-03-16
BENQI,QI,0.049616183,0.036,0.011,-0.023,9851172,77090931,2022-03-16
JUST,JST,0.048936164,0.013,0.005,0.033,74944693,355779812,2022-03-16
VeChain,VET,0.047848055,0.028,0.033,0.028,283498801,3172681612,2022-03-16
PlatON Network,LAT,0.045411075,0.011,0.01,-0.058,4190176,108434635,2022-03-16
Metahero,HERO,0.045156504,0.023,0.034,-0.106,8366250,233755062,2022-03-16
Humans.ai,HEART,0.044270475,0.025,0.086,-0.547,1852838,1309127902,2022-03-16
Everdome,DOME,0.042328407,-0.004,0.09,-0.07,44769576,363656510,2022-03-16
Zilliqa,ZIL,0.041008132,0.033,0.032,0.047,37965285,571307984,2022-03-16
Alchemy Pay,ACH,0.040564969,0.018,0.035,-0.003,9350241,166194387,2022-03-16
Medibloc,MED,0.040119248,0.011,0.025,0.025,7724520,215001420,2022-03-16
Circuits of Value,COVAL,0.038262751,-0.001,0.035,-0.038,601191,69008937,2022-03-16
Celer Network,CELR,0.03706891,0.029,0.028,-0.003,35862409,208463091,2022-03-16
RIZON,ATOLO,0.035663494,0.046,0.023,-0.016,331202,72989274,2022-03-16
Dock,DOCK,0.033479548,0.024,-0.002,0,3240870,70448413,2022-03-16
KardiaChain,KAI,0.03310605,0.005,0.012,0.092,3633167,110596002,2022-03-16
DEAPCOIN,DEP,0.027606423,0.004,-0.009,-0.133,5292541,128916638,2022-03-16
Amp,AMP,0.025036138,0.018,0.007,0.003,8084731,1198878147,2022-03-16
IOST,IOST,0.02256876,0.025,0.011,0.015,35343794,517770891,2022-03-16
cUSDC,CUSDC,0.022533007,-0.001,0.001,0.001,41.83,2449140377,2022-03-16
cDAI,CDAI,0.02189579,-0.001,0,0,93.89,1942222665,2022-03-16
cUSDT,CUSDT,0.021768404,0,0,0,8111.5,775425368,2022-03-16
JasmyCoin,JASMY,0.021231711,0.005,0.253,0.913,480261670,99367227,2022-03-16
Klever,KLV,0.021137783,0.027,0.034,0.054,4429411,109983784,2022-03-16
Verasity,VRA,0.020985885,0.048,0.056,0.009,58902495,92248152,2022-03-16
DigiByte,DGB,0.01966813,0.03,0.018,0.059,15693285,297257419,2022-03-16
Nerve Finance,NRV,0.017464923,0.001,-0.028,-0.087,37129.53,77747624,2022-03-16
Smooth Love Potion,SLP,0.016547553,0.019,0.018,-0.076,99341158,614525601,2022-03-16
XYO Network,XYO,0.016347118,0.001,0.009,-0.032,4569339,202482367,2022-03-16
QuarkChain,QKC,0.015632618,0.009,0.006,-0.019,2276212,103653419,2022-03-16
Vader Protocol,VADER,0.014381539,-0.039,-0.096,-0.337,1480880,72963217,2022-03-16
StormX,STMX,0.013991864,0.025,0.022,0.003,2316593,128800635,2022-03-16
Reserve Rights Token,RSR,0.013806376,0.015,0.136,0.133,58160962,182389151,2022-03-16
Sun Token,SUN,0.011599572,0.012,0.013,0.02,35127631,121791772,2022-03-16
Proton,XPR,0.01097843,0.022,-0.02,-0.067,4912504,107238670,2022-03-16
FUNToken,FUN,0.010933267,0.012,-0.004,-0.011,853332,115804492,2022-03-16
Nervos Network,CKB,0.010554841,0.014,0.02,-0.015,6162463,316458006,2022-03-16
Verge,XVG,0.00912706,0.024,0.027,-0.047,4578538,149908633,2022-03-16
Everipedia,IQ,0.00900614,0.007,0.031,0.022,3388475,89718345,2022-03-16
Siacoin,SC,0.008880297,0.018,0.022,-0.004,12295120,446937901,2022-03-16
Reef Finance,REEF,0.008455524,0.024,0.025,0.034,21823319,153505883,2022-03-16
ThunderCore,TT,0.007869638,0.006,-0.003,0.018,13601229,67862398,2022-03-16
Carry,CRE,0.007639549,0.014,-0.023,-0.001,15140717,66948840,2022-03-16
Hifi Finance,MFT,0.007556118,0.011,-0.054,0.052,58152200,70736052,2022-03-16
ShareToken,SHR,0.007189378,0.013,-0.046,-0.138,221837,69453171,2022-03-16
inSure DeFi,SURE,0.005989953,0.025,0.121,0.163,1229192,156870603,2022-03-16
Electroneum,ETN,0.005086663,0.017,0.026,-0.017,176858,89440714,2022-03-16
Telcoin,TEL,0.004899527,0.008,0.027,-0.011,2843059,301743735,2022-03-16
Holo,HOT,0.004147966,0.027,0.027,0.028,63199499,734353201,2022-03-16
Spell Token,SPELL,0.003547902,0.015,0.009,-0.059,27285439,317144040,2022-03-16
ECOMI,OMI,0.003406821,0.019,0.027,-0.219,3444049,1976983567,2022-03-16
VeThor Token,VTHO,0.003245193,0.021,-0.004,0.062,5301268,147086117,2022-03-16
Cratos,CRTS,0.002952177,-0.009,-0.037,-0.13,13535131,203670465,2022-03-16
Dent,DENT,0.002351314,0.023,0.017,0.008,18982568,223840664,2022-03-16
Radio Caca,RACA,0.001341144,0.028,0.041,0.099,15540182,273386276,2022-03-16
SafeMoon,SFM,0.001028389,0.038,-0.034,-0.088,406894,566255393,2022-03-16
EverRise,RISE,0.000950734,0.013,0.081,0.03,423218,66340451,2022-03-16
Pundi X [OLD],NPXS,0.000600992,0,-0.015,-0.128,0,142146180,2022-03-16
Power Cash,PRCH,0.00054874,-0.01,-0.023,-0.007,107256,164420955,2022-03-16
WINkLink,WIN,0.000266334,0.011,0.02,-0.009,126343198,255157055,2022-03-16
eCash,XEC,7.93E-05,0.019,-0.005,0.144,37446216,1497455570,2022-03-16
Kin,KIN,4.11E-05,-0.022,0.094,-0.008,1152459,73595419,2022-03-16
Floki Inu,FLOKI,2.83E-05,0.04,0.042,-0.037,6481180,257703958,2022-03-16
Shiba Inu,SHIB,2.24E-05,0.024,0.028,-0.021,546344871,12186102832,2022-03-16
VVS Finance,VVS,2.23E-05,0.018,0.022,-0.087,3849460,235411080,2022-03-16
StarLink,STARL,1.44E-05,0.045,0.022,-0.004,13867876,143867182,2022-03-16
UFO Gaming,UFO,7.53E-06,0.03,0.033,-0.009,5098371,191533622,2022-03-16
BitTorrent,BTT,1.81E-06,0.007,0.022,0.003,87836205,1675881629,2022-03-16
OpenDAO,SOS,1.71E-06,0.03,0.053,-0.09,14382323,67555662,2022-03-16
APENFT,NFT,1.52E-06,0.004,0.005,-0.047,69002807,421365369,2022-03-16
Dogelon Mars,ELON,7.24E-07,0.043,0.072,0.028,10950097,394017729,2022-03-16
SafeMoon [OLD],SAFEMOON,5.06E-07,0.02,0.025,0.003,3503.42,277800683,2022-03-16
FEG Token BSC,FEG,3.98E-09,0.028,0,0.05,505356,166612893,2022-03-16
FEG Token,FEG,3.71E-09,0.017,0.009,0.024,1093047,151073649,2022-03-16
Bezoge Earth,BEZOGE,3.05E-09,0.012,-0.005,-0.041,189402,132913608,2022-03-16
Baby Doge Coin,BABYDOGE,2.86E-09,0.026,0.021,-0.039,10651029,452640717,2022-03-16
Kishu Inu,KISHU,1.54E-09,0.046,0.094,0.147,7104908,149823531,2022-03-16
